;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Marzo 1979 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;UNION DE CENTRO DEMOCRATICO;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;PARTIDO COMUNISTA DE ESPAÑA;;COALICION DEMOCRATICA;;COALICION CONVERGENCIA Y UNIO;;PARTIDO UNION NACIONAL;;PARTIDO ANDALUCISTA;;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;;PARTIDO DEL TRABAJO DE ESPAÑA;;HERRI BATASUNA;;PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO);;ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES;;ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL;;EUSKADIKO EZKERRA;;MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA;;BLOQUE NACIONAL POPULAR GALLEGO;;UNION DEL PUEBLO CANARIO;;BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL;;UNIDADE GALEGA;;IZQUIERDA REPUBLICANA;;PARTIDO CARLISTA;;ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA;;PARTIDO COMUNISTA DE LOS TRABAJADORES;;PARTIDO ARAGONES REGIONALISTA;;LIGA COMUNISTA REVOLUCIONARIA;;UNION FORAL PAIS VASCO;;FALANGE ESPAÑOLA DE LAS JONS AUTENTICA;;UNION DEL PUEBLO NAVARRO;;COALICION POR ARAGON;;PARTIDO NACIONALISTA DE CASTILLA Y LEON;;PARTIDO LIBERAL;;UNIO REGIONAL VALENCIANISTA;;PARTIT NACIONALISTA DEL PAIS VALENCIA;;UNION NAVARRA DE IZQUIERDA;;PARTIDO RURALISTA ESPAÑOL;;PARTIDO DEL PAIS CANARIO;;SOCIALISTAS DE MALLORCA I MENORCA;;PARTIDO SINDICALISTA;;UNION PARA LA LIBERTAD DE EXPRESION;;ESTAT CATALA;;PARTIDO CANTONAL;;CANDIDATURA INDEPENDIENTE DEL CAMPO;;DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA;;PARTIDO PROVERISTA;;ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA;;LIGA COMUNISTA;;CONCEYU NACIONALISTA ASTUR;;FALANGE ESPAÑOLA AUTENTICA;;PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA;;PARTIDO OBRERO Y CAMPESINO;;CANDIDATOS INDEPENDIENTES;;FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA;;FALANGE ESPAÑOLA - UNIDAD FALANGISTA;
;;;;;;;;;;;UCD;;PSOE;;PCE;;CD;;CIU;;UN;;PSA-PA;;PNV;;PTE;;HB;;PSOE-H;;ORT;;ERFN;;EE;;MC-OIC;;BNPG;;C-UPC;;BEAN;;PG-POG-PSG;;IR;;PCARL;;OCEBR-UCE;;PCT;;PAR;;LCR;;UFV;;FJONSA;;UPN;;PSAR - PSDA;;PANCAL;;PLIB;;URV;;PNPV;;UNAI;;PRE;;PDPCAN;;SMIM;;PSIN;;ULE;;E CATALA;;P-CANT;;CIC;;DSCC;;PPROV;;ARDE;;LC;;CNA;;FEA;;PIPPA;;POC;;CIME;;UF-FI-AT;;FE-UF;
Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Número de mesas;Total censo electoral;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados
Andalucía                     ;4;Almería                                           ;411.665;393;278.280;184.489;182.899;182.539;360;1.590;80.854;3;67.782;2;13.534;0;8.067;0;0;0;3.097;0;5.074;0;0;0;872;0;0;0;0;0;302;0;0;0;0;0;731;0;0;0;0;0;0;0;0;0;413;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;11;Cádiz                                             ;999.129;1.012;643.731;422.011;413.958;412.986;972;8.053;121.800;2;124.693;3;43.824;1;13.465;0;0;0;4.538;0;81.598;2;0;0;13.254;0;0;0;1.732;0;970;0;0;0;0;0;1.040;0;0;0;0;0;0;0;0;0;729;0;661;0;1.133;0;1.458;0;0;0;767;0;0;0;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;14;Córdoba                                           ;744.359;753;512.633;373.627;369.849;369.281;568;3.778;110.734;3;111.237;3;70.554;1;20.909;0;0;0;7.427;0;36.826;0;0;0;4.080;0;0;0;3.168;0;467;0;0;0;0;0;1.078;0;0;0;0;0;0;0;0;0;581;0;0;0;1.063;0;634;0;0;0;0;0;0;0;523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;18;Granada                                           ;771.227;668;524.797;360.733;358.073;357.633;440;2.660;131.107;3;128.002;3;45.384;1;16.958;0;0;0;4.381;0;22.136;0;0;0;3.161;0;0;0;2.123;0;304;0;0;0;0;0;1.066;0;0;0;0;0;0;0;0;0;390;0;174;0;1.412;0;0;0;0;0;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418;0;0;0;0;0;0;0
Andalucía                     ;21;Huelva                                            ;422.092;417;282.075;186.498;184.404;184.072;332;2.094;68.756;3;65.302;2;12.913;0;6.080;0;0;0;3.010;0;17.720;0;0;0;1.099;0;0;0;2.009;0;4.330;0;0;0;0;0;505;0;0;0;0;0;0;0;0;0;0;0;375;0;393;0;539;0;0;0;718;0;0;0;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;23;Jaén                                              ;671.563;661;464.993;332.326;329.075;328.718;357;3.251;111.209;3;137.861;3;42.466;1;11.752;0;0;0;9.294;0;11.335;0;0;0;1.388;0;0;0;1.088;0;398;0;0;0;0;0;528;0;0;0;0;0;0;0;0;0;422;0;0;0;398;0;579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;29;Málaga                                            ;989.971;1.015;651.876;419.157;413.179;412.302;877;5.978;120.201;3;148.497;3;53.036;1;16.304;0;0;0;7.338;0;49.552;1;0;0;6.948;0;0;0;4.628;0;605;0;0;0;0;0;1.408;0;0;0;0;0;0;0;0;0;953;0;466;0;932;0;1.174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;41;Sevilla                                           ;1.452.450;1.854;978.772;698.818;692.141;691.090;1.051;6.677;191.099;4;203.468;4;110.731;2;32.428;0;0;0;9.225;0;101.601;2;0;0;27.337;0;0;0;3.706;0;1.086;0;0;0;0;0;1.031;0;0;0;0;0;0;0;0;0;741;0;0;0;4.271;0;1.134;0;0;0;774;0;0;0;1.029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443;0;0;0;0;0;0;0;0;0;0;0;986;0;0;0;0;0;0;0
