;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Octubre 1982 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR;;UNION DE CENTRO DEMOCRATICO;;PARTIDO COMUNISTA DE ESPAÑA;;CONVERGENCIA I UNIO;;CENTRO DEMOCRATICO Y SOCIAL;;PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA;;AGRUPACION ELECTORES HERRI BATASUNA;;ESQUERRA REPUBLICANA DE CATALUNYA;;ASOCIACION POLITICA FUERZA NUEVA;;PARTIDO SOCIALISTA DE LOS TRABAJADORES;;EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO;;PARTIDO SOCIALISTA DE ANDALUCIA - PARTIDO ANDALUZ;;PARTIT DELS COMUNISTES DE CATALUNYA;;BLOQUE PSG;;UNION DEL PUEBLO CANARIO;;NACIONALISTES D'ESQUERRA;;SOLIDARIDAD ESPAÑOLA;;EXTREMADURA UNIDA;;PARTIDO COMUNISTA OBRERO ESPAÑOL;;CONVERGENCIA CANARIA;;UNIFICACION COMUNISTA DE ESPAÑA;;PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA);;ESQUERDA GALEGA;;ASAMBLEA CANARIA - COORDINADORA CANARIA;;UNITAT DEL POBLE VALENCIA;;CANDIDATURA DE UNIDAD COMUNISTA;;ESQUERRA UNIDA DEL PAIS VALENCIA;;MOVIMIENTO FALANGISTA DE ESPAÑA;;AGRUPACION ELECTORAL BLOQUE AGRARIO;;COALICION ELECTORAL PSM-NACIONALISTES DE LES ILLES;;PARTIDO SOCIALISTA DE ARAGON;;ESQUERRA NACIONALISTA VALENCIANA;;PARTIDO SOCIALISTA;;AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE;;LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.);;COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA;;FRENTE DE IZQUIERDA COMUNISTA;;PARTIDO NACIONALISTA CANARIO;;PARTIDO REGIONALISTA DEL PAIS LEONES;;CONSERVADORS DE CATALUNYA;;FALANGE ESPAÑOLA DE LAS JONS;;PARTIDO ASTURIANO DEMOCRATA LIBERAL;;INDEPENDIENTES Y EMIGRANTES DE GALICIA;;PARTIDO RURALISTA ESPAÑOL;;FALANGE ESPAÑOLA INDEPENDIENTE;;PARTIDO NACIONALISTA CEUTI;;AGRUPACION CIUDADANA INDEPENDIENTE;;MOVIMIENTO CATOLICO ESPAÑOL;;COALICION ELECTORAL IZQUIERDA COMUNISTA;;PARTIDO DE EL BIERZO;;ASOCIACION SOCIALDEMOCRATA CANARIA;;IZQUIERDA REPUBLICANA;;FALANGE ASTURIANA;;PARTIDO CARLISTA;;PARTIDO AGRARIO ESPAÑOL;;PARTIDO PROVERISTA;;COORDINADORA DE LA IZQUIERDA RIOJANA;;PUEBLO CANARIO UNIDO;;AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA;;BLOQUE DE IZQUIERDA ASTURIANA;
;;;;;;;;;;;PSOE;;AP-PDP;;UCD;;PCE;;CIU;;CDS;;EAJ-PNV;;HB;;ERC;;FN;;PST;;EE;;PSA-PA;;PCC;;B-PSG;;UPC;;NE;;SE;;EU;;PCOE;;CC;;UCE;;PCE (M-L);;EG;;AC-CC;;UPV;;CUC;;EUPV;;MFE;;AEBA;;PSM;;PSA;;ENV-URV;;PS;;AEGI;;LC (COSI);;CE-FCC;;FIC;;PNC;;PREPAL;;CC;;FE-JONS;;PADL;;IDG;;PRE;;FE-I;;PNC;;ACI;;M.CAT.E;;LCR-MC;;PDB;;ASDC;;IR;;FA;;PC;;PAE;;PP;;CIR;;PCU;;EM;;BIA;
Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Número de mesas;Total censo electoral;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados
Andalucía                     ;4;Almería                                           ;410.395;420;276.276;212.232;207.562;206.169;1.393;4.670;119.903;4;48.280;1;23.294;0;5.504;0;0;0;3.666;0;0;0;0;0;0;0;1.251;0;0;0;0;0;2.558;0;0;0;0;0;0;0;0;0;351;0;0;0;0;0;0;0;323;0;328;0;0;0;0;0;0;0;476;0;0;0;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;11;Cádiz                                             ;982.138;903;650.906;492.509;484.629;483.208;1.421;7.880;308.571;6;97.314;2;22.728;0;20.749;0;0;0;8.473;0;0;0;0;0;0;0;1.209;0;3.474;0;0;0;16.654;0;0;0;0;0;0;0;0;0;902;0;0;0;1.753;0;0;0;531;0;498;0;0;0;0;0;0;0;0;0;0;0;352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;14;Córdoba                                           ;710.193;674;513.521;434.272;425.397;420.133;5.264;8.875;243.428;5;90.023;2;28.414;0;37.555;0;0;0;5.358;0;0;0;0;0;0;0;1.556;0;1.886;0;0;0;9.270;0;0;0;0;0;0;0;0;0;489;0;0;0;956;0;0;0;285;0;175;0;0;0;0;0;0;0;473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;18;Granada                                           ;757.536;665;532.882;409.109;405.204;404.125;1.079;3.905;234.154;5;97.554;2;27.897;0;28.636;0;0;0;7.276;0;0;0;0;0;0;0;2.029;0;0;0;0;0;4.939;0;0;0;0;0;0;0;0;0;454;0;0;0;0;0;0;0;249;0;252;0;0;0;0;0;0;0;369;0;0;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;21;Huelva                                            ;413.100;402;288.285;223.070;220.051;219.488;563;3.019;139.420;4;45.755;1;17.174;0;7.976;0;0;0;3.003;0;0;0;0;0;0;0;696;0;812;0;0;0;3.752;0;0;0;0;0;0;0;0;0;259;0;0;0;0;0;0;0;266;0;0;0;0;0;0;0;0;0;238;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;23;Jaén                                              ;638.807;780;448.573;367.372;363.721;363.117;604;3.651;207.754;5;83.833;2;32.456;0;26.829;0;0;0;3.363;0;0;0;0;0;0;0;1.789;0;986;0;0;0;4.750;0;0;0;0;0;0;0;0;0;211;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;0;0;425;0;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;29;Málaga                                            ;1.003.234;698;688.091;513.801;508.260;506.859;1.401;5.541;315.092;6;118.369;2;19.435;0;26.935;0;0;0;7.637;0;0;0;0;0;0;0;1.298;0;2.420;0;0;0;11.770;0;0;0;0;0;0;0;0;0;929;0;0;0;1.333;0;0;0;331;0;323;0;0;0;0;0;0;0;509;0;0;0;315;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;41;Sevilla                                           ;1.476.713;1.564;1.002.070;813.317;800.995;798.724;2.271;12.322;496.543;8;176.054;3;30.004;0;57.272;1;0;0;5.775;0;0;0;0;0;0;0;2.227;0;2.568;0;0;0;23.375;0;0;0;0;0;0;0;0;0;718;0;0;0;2.017;0;0;0;335;0;520;0;0;0;0;0;0;0;0;0;0;0;376;0;0;0;0;0;0;0;0;0;0;0;0;0;599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
