;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Junio 1986 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;COALICION POPULAR;;CENTRO DEMOCRATICO Y SOCIAL;;CONVERGENCIA I UNIO;;COALICION IZQUIERDA UNIDA;;PARTIDO NACIONALISTA VASCO;;HERRI BATASUNA;;MESA PARA LA UNIDAD DE LOS COMUNISTAS;;PARTIDO REFORMISTA DEMOCRATICO;;EUSKADIKO EZKERRA;;PARTIDO ANDALUCISTA;;ESQUERRA REPUBLICANA DE CATALUNYA;;COALICION GALEGA;;PARTIDO SOCIALISTA DE LOS TRABAJADORES;;PARTIDO ARAGONES REGIONALISTA;;COALICION AGRUPACIONES INDEPENDIENTES DE CANARIAS;;UNIO VALENCIANA;;PARTIT DELS COMUNISTES DE CATALUNYA;;PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA;;FALANGE ESPAÑOLA DE LAS JONS;;UNIFICACION COMUNISTA DE ESPAÑA;;UNITAT DEL POBLE VALENCIA;;ASAMBLEA CANARIA-IZQUIERDA NACIONALISTA CANARIA;;LOS VERDES;;LISTA ALTERNATIVA VERDE;;VERTICE ESPAÑOL REIVINDICACION DESARROLL ECOLOGICO;;UNIDAD  POPULAR REPUBLICANA;;BLOQUE NACIONALISTA GALEGO;;PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA;;EXTREMADURA UNIDA;;PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ;;PSM ESQUERRA NACIONALISTA;;COALICION DE UNIDAD NACIONAL;;PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA;;PARTIT SOCIALDEMOCRATA DE CATALUNYA;;AGRUPACION DE ELECTORES INDEPENDIENTES;;COALICION CONVERGENCIA LEONESISTA;;PARTIDO REGIONALISTA DEL PAIS LEONES;;ESQUERRA NACIONALISTA VALENCIANA;;LIGA OBRERA COMUNISTA;;PARTIDO MODERADO-CENTRISTAS DE NAVARRA;;CULTURA NATURAL;;PARTIDO REGIONALISTA MURCIANO;;PARTIDO ESPAÑOL DEMOCRATA;;PARTIDO NACIONALISTA DE CASTILLA Y LEON;;COALICION CANDIDATURA POR LA AUTONOMIA;;PARTIDO PROVERISTA;;"AGRUPACION ELECTORAL""AGRUP INDEPENDIENTE DE CEUTA""";;PARTIDO ESPAÑOL CRISTIANO;;MOVIMIENTO COMUNISTA DE EUSKADI;;LIGA KOMUNISTA IRAULTZAILEA;
;;;;;;;;;;;;;;;PSOE;;AP-PDP-PL;;CDS;;CIU;;IU;;EAJ-PNV;;HB;;MUC;;PRD;;EE;;PA;;ERC;;CG;;PST;;PAR;;AIC;;UV;;PCC;;PSG-EG;;FE-JONS;;UCE;;UPV;;AC-INC;;LV;;AV;;VERDE;;UPR;;BNG;;POSI;;EU;;PSPA;;PSM-EN;;CUN;;PORE;;PSDC;;ADEI;;CL;;PREPAL;;ENV-URV;;LOC;;PMCN;;CN;;PRM;;PED;;PANCAL;;CA;;PROV;;AE-AIC;;PAEC;;EMK;;LKI;
Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Número de mesas;Censo electoral sin CERA;Censo CERA;Total censo electoral;Total Votantes CER;Total votantes CERA;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados
Andalucía                     ;4;Almería                                           ;442.324;419;309.513;4.131;313.644;211.787;850;212.637;210.067;209.333;734;2.570;111.617;4;54.433;1;18.960;0;0;0;11.010;0;0;0;0;0;1.741;0;5.565;0;0;0;3.109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428;0;446;0;0;0;0;0;0;0;0;0;0;0;707;0;0;0;282;0;0;0;1.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;11;Cádiz                                             ;1.044.493;939;717.942;4.804;722.746;478.650;814;479.464;471.174;468.758;2.416;8.290;286.104;7;93.284;2;26.080;0;0;0;27.527;0;0;0;0;0;3.743;0;3.234;0;0;0;19.682;0;0;0;0;0;2.117;0;0;0;0;0;0;0;489;0;0;0;1.419;0;961;0;0;0;0;0;0;0;0;0;0;0;938;0;0;0;994;0;0;0;2.186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;14;Córdoba                                           ;747.505;691;549.413;4.279;553.692;421.803;971;422.774;417.887;415.504;2.383;4.887;223.759;4;90.637;2;27.211;0;0;0;51.007;1;0;0;0;0;3.246;0;4.075;0;0;0;12.211;0;0;0;0;0;903;0;0;0;0;0;0;0;0;0;0;0;170;0;534;0;0;0;0;0;0;0;0;0;0;0;315;0;0;0;327;0;0;0;1.109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;18;Granada                                           ;783.265;680;577.108;5.859;582.967;403.112;1.421;404.533;400.245;398.641;1.604;4.288;212.031;5;105.156;2;27.398;0;0;0;28.198;0;0;0;0;0;9.890;0;3.103;0;0;0;5.165;0;0;0;0;0;865;0;0;0;0;0;0;0;267;0;0;0;848;0;619;0;0;0;0;0;0;0;0;0;0;0;432;0;0;0;0;0;0;0;4.303;0;0;0;366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;21;Huelva                                            ;433.995;460;312.597;1.649;314.246;212.685;281;212.966;209.541;208.610;931;3.425;130.386;4;44.778;1;12.034;0;0;0;11.068;0;0;0;0;0;1.889;0;1.698;0;0;0;4.910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361;0;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;23;Jaén                                              ;646.849;689;485.208;2.156;487.364;369.472;453;369.925;365.784;364.613;1.171;4.141;201.494;4;98.395;2;19.507;0;0;0;33.569;0;0;0;0;0;2.042;0;2.569;0;0;0;4.483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;534;0;390;0;0;0;0;0;0;0;0;0;0;0;316;0;0;0;338;0;0;0;976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;29;Málaga                                            ;1.150.434;755;746.993;5.838;752.831;502.830;1.548;504.378;496.320;493.789;2.531;8.058;284.757;6;108.640;2;29.925;0;0;0;44.595;1;0;0;0;0;4.097;0;4.438;0;0;0;11.933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;964;0;957;0;0;0;0;0;0;0;0;0;0;0;894;0;0;0;0;0;0;0;2.589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;41;Sevilla                                           ;1.540.907;1.719;1.096.525;4.857;1.101.382;809.461;1.129;810.590;800.183;797.106;3.077;10.407;473.743;8;169.409;3;29.033;0;0;0;66.034;1;0;0;0;0;11.020;0;4.428;0;0;0;32.515;0;0;0;0;0;2.565;0;0;0;0;0;0;0;0;0;0;0;988;0;841;0;0;0;0;0;0;0;2.224;0;1.208;0;512;0;0;0;378;0;0;0;1.760;0;0;0;448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;22;Huesca                                            ;209.854;362;174.590;1.641;176.231;123.118;484;123.602;120.776;119.785;991;2.826;53.764;2;30.289;1;15.446;0;0;0;3.978;0;0;0;0;0;1.043;0;1.914;0;0;0;0;0;0;0;0;0;486;0;11.786;0;0;0;0;0;105;0;0;0;0;0;353;0;0;0;0;0;0;0;0;0;0;0;241;0;0;0;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;44;Teruel                                            ;149.360;310;124.747;954;125.701;88.250;242;88.492;87.114;86.360;754;1.378;35.785;2;28.583;1;9.233;0;0;0;1.363;0;0;0;0;0;860;0;956;0;0;0;0;0;0;0;0;0;434;0;8.405;0;0;0;0;0;0;0;0;0;312;0;205;0;0;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;50;Zaragoza                                          ;824.778;1.133;653.342;3.500;656.842;463.736;924;464.660;454.801;451.185;3.616;9.859;198.260;4;114.389;2;49.425;1;0;0;17.147;0;0;0;0;0;6.726;0;4.500;0;0;0;0;0;0;0;0;0;2.052;0;52.813;1;0;0;0;0;0;0;0;0;1.023;0;1.021;0;0;0;0;0;0;0;0;0;2.570;0;623;0;0;0;636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
